subgraph,ua_count
<http://www.wikidata.org/entity/Q23894233>,86
<http://www.wikidata.org/entity/Q6503489>,40
<http://www.wikidata.org/entity/Q3257686>,519
<http://www.wikidata.org/entity/Q34023>,74
<http://www.wikidata.org/entity/Q310890>,252
<http://www.wikidata.org/entity/Q26887310>,56
<http://www.wikidata.org/entity/Q50386450>,110
<http://www.wikidata.org/entity/Q16560>,387
<http://www.wikidata.org/entity/Q427087>,430
<http://www.wikidata.org/entity/Q15221623>,84
<http://www.wikidata.org/entity/Q41298>,506
<http://www.wikidata.org/entity/Q891723>,1711
<http://www.wikidata.org/entity/Q1081138>,272
<http://www.wikidata.org/entity/Q27020041>,275
<http://www.wikidata.org/entity/Q4167836>,782
<http://www.wikidata.org/entity/Q3947>,521
<http://www.wikidata.org/entity/Q4830453>,4383
<http://www.wikidata.org/entity/Q39816>,273
