subgraph,count
<http://www.wikidata.org/entity/Q67015883>,6452
<http://www.wikidata.org/entity/Q79007>,468351
<http://www.wikidata.org/entity/Q965568>,52309
<http://www.wikidata.org/entity/Q294414>,177020
<http://www.wikidata.org/entity/Q8054>,199851
<http://www.wikidata.org/entity/Q187971>,132356
<http://www.wikidata.org/entity/Q106474968>,69
<http://www.wikidata.org/entity/Q31855>,131309
<http://www.wikidata.org/entity/Q8502>,703949
<http://www.wikidata.org/entity/Q847017>,72540
<http://www.wikidata.org/entity/Q773668>,37627
<http://www.wikidata.org/entity/Q2341654>,112806
<http://www.wikidata.org/entity/Q898273>,1191
<http://www.wikidata.org/entity/Q7278>,155317
<http://www.wikidata.org/entity/Q235557>,8100
<http://www.wikidata.org/entity/Q44613>,121719
<http://www.wikidata.org/entity/Q35509>,176896
<http://www.wikidata.org/entity/Q169930>,16080
<http://www.wikidata.org/entity/Q43460564>,7088
<http://www.wikidata.org/entity/Q100532807>,1080
<http://www.wikidata.org/entity/Q3305213>,812762
<http://www.wikidata.org/entity/Q105543609>,173711
<http://www.wikidata.org/entity/Q358>,80885
<http://www.wikidata.org/entity/Q104093746>,57741
<http://www.wikidata.org/entity/Q2467461>,41751
<http://www.wikidata.org/entity/Q634099>,174479
<http://www.wikidata.org/entity/Q23397>,432662
<http://www.wikidata.org/entity/Q820477>,123829
<http://www.wikidata.org/entity/Q19855165>,7677
<http://www.wikidata.org/entity/Q34763>,126689
<http://www.wikidata.org/entity/Q1134686>,90359
<http://www.wikidata.org/entity/Q12280>,137658
<http://www.wikidata.org/entity/Q3918>,229504
<http://www.wikidata.org/entity/Q51591359>,25
<http://www.wikidata.org/entity/Q2231510>,19334
<http://www.wikidata.org/entity/Q56436498>,64726
<http://www.wikidata.org/entity/Q1577547>,77087
<http://www.wikidata.org/entity/Q420927>,573
<http://www.wikidata.org/entity/Q11424>,2799182
<http://www.wikidata.org/entity/Q811979>,240978
<http://www.wikidata.org/entity/Q1497375>,85826
<http://www.wikidata.org/entity/Q17524420>,50046
<http://www.wikidata.org/entity/Q2065736>,171616
<http://www.wikidata.org/entity/Q473972>,197119
<http://www.wikidata.org/entity/Q93184>,78148
<http://www.wikidata.org/entity/Q13433827>,23712
<http://www.wikidata.org/entity/Q23413>,220946
<http://www.wikidata.org/entity/Q43229>,432491
<http://www.wikidata.org/entity/Q2996394>,68926
<http://www.wikidata.org/entity/Q1505023>,13949
