subgraph,total_query_time_(ms),total_query_time_(hr),percent
<http://www.wikidata.org/entity/Q55659107>,29445827,8.179,0.053
<http://www.wikidata.org/entity/Q740445>,38423394,10.673,0.07
<http://www.wikidata.org/entity/Q125191>,454561154,126.267,0.823
<http://www.wikidata.org/entity/Q21199>,41002425,11.39,0.074
<http://www.wikidata.org/entity/Q134556>,81852944,22.737,0.148
<http://www.wikidata.org/entity/Q4167410>,2752470839,764.575,4.982
<http://www.wikidata.org/entity/Q18127>,60320510,16.756,0.109
<http://www.wikidata.org/entity/Q30198>,39647244,11.013,0.072
<http://www.wikidata.org/entity/Q55850593>,5466647,1.519,0.01
<http://www.wikidata.org/entity/Q67015883>,6166773,1.713,0.011
<http://www.wikidata.org/entity/Q79007>,159873134,44.409,0.289
<http://www.wikidata.org/entity/Q965568>,21147541,5.874,0.038
<http://www.wikidata.org/entity/Q294414>,50241341,13.956,0.091
<http://www.wikidata.org/entity/Q8054>,100978247,28.05,0.183
<http://www.wikidata.org/entity/Q187971>,55436096,15.399,0.1
<http://www.wikidata.org/entity/Q106474968>,65027,0.018,0.0
<http://www.wikidata.org/entity/Q31855>,61429749,17.064,0.111
<http://www.wikidata.org/entity/Q8502>,168880897,46.911,0.306
<http://www.wikidata.org/entity/Q847017>,38912795,10.809,0.07
<http://www.wikidata.org/entity/Q773668>,27340173,7.594,0.049
<http://www.wikidata.org/entity/Q2341654>,52542494,14.595,0.095
<http://www.wikidata.org/entity/Q898273>,408044,0.113,0.001
<http://www.wikidata.org/entity/Q7278>,83906296,23.307,0.152
<http://www.wikidata.org/entity/Q235557>,59001812,16.389,0.107
<http://www.wikidata.org/entity/Q44613>,81447475,22.624,0.147
<http://www.wikidata.org/entity/Q35509>,55876640,15.521,0.101
<http://www.wikidata.org/entity/Q169930>,15426888,4.285,0.028
<http://www.wikidata.org/entity/Q43460564>,6603595,1.834,0.012
<http://www.wikidata.org/entity/Q100532807>,254053,0.071,0.0
<http://www.wikidata.org/entity/Q3305213>,308493626,85.693,0.558
<http://www.wikidata.org/entity/Q105543609>,84219566,23.394,0.152
<http://www.wikidata.org/entity/Q358>,45786046,12.718,0.083
